[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":17,"value":{"type":"Buffer","data":[0,9,200,252,87,224,170,177,94,205,114,164,242,76,160,128,247]}}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":59}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,59,0,11]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,17,0,97]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,17,0,97]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [17,0] - 97
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":17}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":59,"offset":0}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,59,0,0,0,2]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,19,97,28,0,17,0,9,200,252,87,224,170,177,94,205,114,164,242,76,160,128,247,194]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,19,97,28,0,17,0,9,200,252,87,224,170,177,94,205,114,164,242,76,160,128,247,194]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 19 - 3 - 1 - 28 - [0,17,0,9,200,252,87,224,170,177,94,205,114,164,242,76,160,128,247] - 194
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":17,"value":{"type":"Buffer","data":[0,9,200,252,87,224,170,177,94,205,114,164,242,76,160,128,247]}}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: (stage-1) adapter is configured
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: (stage-2) adapter state matches configuration
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: determined startup strategy: startup
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: UTIL - getDeviceInfo - {}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,0,39,0,39]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,18,103,0,0,58,159,41,57,0,75,18,0,0,0,7,9,2,98,206,44,21,0]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,18,103,0,0,58,159,41,57,0,75,18,0,0,0,7,9,2,98,206,44,21,0]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 18 - 3 - 7 - 0 - [0,58,159,41,57,0,75,18,0,0,0,7,9,2,98,206,44,21] - 0
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: UTIL - getDeviceInfo - {"status":0,"ieeeaddr":"0x00124b0039299f3a","shortaddr":0,"devicetype":7,"devicestate":9,"numassocdevices":2,"assocdeviceslist":[52834,5420]}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: adapter is already running in coordinator mode
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,4,37,5,0,0,0,0,36]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,1,101,5,0,97,254,21,69,133,0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1,137]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,101,5,0,97,254,21,69,133,0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1,137]
